city,gender,total_spend,percentage_contribution
"Laharpur, India",M,633266.0,66.503959
"Padrauna, India",F,1048342.0,83.11151
"Naugawan Sadat, India",M,726513.0,58.821057
"Pihani, India",M,819489.0,73.951623
"Salaya, India",M,68123.0,26.169247
"Changanassery, India",M,30074.0,100.0
"Tharad, India",M,1010144.0,60.09353
"Mahalingapura, India",M,79643.0,13.77306
"Jammu, India",F,865024.0,47.743848
"Shikaripur, India",F,534150.0,59.838079
"Lar, India",F,291559.0,62.507021
"Mandamarri, India",F,87618.0,66.260313
"Sadasivpet, India",M,716729.0,73.45868
"Port Blair, India",M,668031.0,60.108838
"Panna, India",M,89751.0,58.912606
"Raghunathganj, India",F,177517.0,63.340564
"Gudivada, India",M,1015533.0,100.0
"Virudhunagar, India",F,493244.0,100.0
"Nalbari, India",F,6407.0,6.721498
"Dumraon, India",M,766259.0,68.608883
"Rajampet, India",M,930260.0,62.607513
"Pithapuram, India",F,1078563.0,73.559635
"Theni Allinagaram, India",F,442982.0,51.696001
"Musabani, India",F,746267.0,64.931176
"Narsipatnam, India",M,520159.0,91.040502
"Sherghati, India",F,232626.0,100.0
"Peringathur, India",M,271990.0,55.004368
"Vellore, India",M,256179.0,100.0
"Srikalahasti, India",M,512633.0,100.0
"Nagaon, India",F,628294.0,65.518816
"Sira, India",F,483124.0,62.03696
"Savarkundla, India",M,234962.0,47.652868
"Adoor, India",M,330288.0,50.99201
"Raiganj, India",F,257216.0,57.423642
"Vadnagar, India",F,448692.0,79.536845
"Kashipur, India",M,844453.0,82.890034
"Tuensang, India",F,46694.0,26.25589
"Gooty, India",F,249570.0,49.158338
"Nanpara, India",M,264598.0,25.158525
"Hardwar, India",F,392057.0,41.204661
"Solapur, India",F,59018.0,45.492245
"Udhagamandalam, India",M,772116.0,74.544113
"Khair, India",M,616627.0,41.597991
"Virudhachalam, India",F,303756.0,53.816225
"Chikkamagaluru, India",F,427124.0,100.0
"Sanand, India",F,891860.0,59.004688
"Sambhal, India",F,903979.0,80.250326
"Shoranur, India",F,484558.0,67.745904
"Thirumangalam, India",M,510500.0,47.769568
"Kakinada, India",M,502365.0,53.45844
"Tohana, India",M,614362.0,59.545857
"Bellampalle, India",F,718902.0,72.366297
"Vijainagar Ajmer, India",F,123476.0,22.936775
"Baharampur, India",F,102646.0,9.601267
"Ankleshwar, India",F,152070.0,22.199027
"Zaidpur, India",M,544965.0,75.290335
"Noorpur, India",M,705939.0,66.31225
"Dumka, India",M,569999.0,64.403901
"Mandvi, India",F,1015628.0,55.809899
"Mehkar, India",F,478855.0,53.713524
"Perumbavoor, India",F,425778.0,70.140023
"Nizamabad, India",F,323891.0,51.620291
"Jharsuguda, India",M,26412.0,10.351152
"Neyveli (TS), India",M,420509.0,38.341861
"Nowgong, India",F,549266.0,87.751143
"Talcher, India",F,983411.0,79.509703
"Palasa Kasibugga, India",M,520558.0,30.854152
"Baleshwar Town, India",M,783954.0,78.026879
"Rajahmundry, India",F,187527.0,16.750765
"Yanam, India",M,863455.0,58.165681
"Vaniyambadi, India",M,175194.0,37.030993
"Parli, India",F,704626.0,67.971118
"Sanduru, India",M,341571.0,44.002365
"Ranebennuru, India",M,194570.0,80.15308
