city,day_type,total_transactions,total_spend
"Nakodar, India",Weekday,1,205582.0
"Sehore, India",Weekend,6,871880.0
"Balurghat, India",Weekday,5,547133.0
"Gobichettipalayam, India",Weekend,2,295030.0
"Malaj Khand, India",Weekday,2,219481.0
"Sirsa, India",Weekday,6,1177568.0
"Araria, India",Weekend,1,1543.0
"Gokak, India",Weekend,2,297133.0
"Jalpaiguri, India",Weekday,3,504224.0
"Ratangarh, India",Weekend,1,252679.0
"Srivilliputhur, India",Weekday,7,1177724.0
"Umred, India",Weekday,4,695218.0
"Pathri, India",Weekend,2,321059.0
"Visnagar, India",Weekday,6,802221.0
"Udumalaipettai, India",Weekend,2,471849.0
"Pakaur, India",Weekend,1,141621.0
"Kathua, India",Weekend,1,203454.0
"Vijayawada, India",Weekend,1,168828.0
"Pasan, India",Weekend,3,387612.0
"Ratnagiri, India",Weekend,1,154033.0
"Karimganj, India",Weekend,1,148204.0
"Manglaur, India",Weekday,5,678753.0
"Sivaganga, India",Weekday,1,252253.0
"Pune, India",Weekend,206,29494294.0
"Jamalpur, India",Weekday,5,870456.0
"Raisen, India",Weekday,7,1175362.0
"Pulgaon, India",Weekday,8,851823.0
"Batala, India",Weekend,5,610464.0
"Revelganj, India",Weekday,7,1122944.0
"Sultanpur, India",Weekday,4,371163.0
"Ramdurg, India",Weekday,5,781088.0
"Jammu, India",Weekend,2,330952.0
"Hapur, India",Weekend,3,469841.0
"Bobbili, India",Weekday,4,492162.0
"Sillod, India",Weekend,1,177486.0
"Panna, India",Weekday,1,89751.0
"Sangamner, India",Weekday,9,1315578.0
"Taliparamba, India",Weekend,2,147650.0
"Nandurbar, India",Weekend,2,517610.0
"Nahan, India",Weekday,5,1322988.0
"Sendhwa, India",Weekend,1,245534.0
"Perinthalmanna, India",Weekday,2,175658.0
"Raurkela, India",Weekend,1,76775.0
"Lahar, India",Weekend,4,653879.0
"Shrigonda, India",Weekday,7,907421.0
"Jammalamadugu, India",Weekday,7,1344983.0
"Tiruchengode, India",Weekday,3,508253.0
"Kurnool, India",Weekend,3,379958.0
"Habra, India",Weekend,1,181452.0
"Bhadrak, India",Weekday,4,663342.0
"Sankari, India",Weekday,8,1493625.0
"Umreth, India",Weekend,1,106924.0
"Shahabad, India",Weekday,4,709761.0
"Viluppuram, India",Weekday,2,401902.0
"Palwancha, India",Weekday,2,297472.0
"Sivakasi, India",Weekday,8,1247602.0
"Motihari, India",Weekday,6,1019358.0
"Virudhachalam, India",Weekend,1,240756.0
"Nabha, India",Weekend,3,645537.0
"Ranibennur, India",Weekday,4,591296.0
"Sironj, India",Weekday,4,734819.0
"Muzaffarpur, India",Weekday,3,470307.0
"Vita, India",Weekday,2,276648.0
"Raigarh, India",Weekday,5,849930.0
"Amalapuram, India",Weekend,1,72099.0
"Mahbubnagar, India",Weekday,1,15458.0
"Kalpi, India",Weekday,4,729122.0
"Chaibasa, India",Weekday,4,597242.0
"Visakhapatnam, India",Weekday,4,719155.0
