city,first_date_to_reach_500k
"Achalpur, India",2014-04-19
"Adilabad, India",2013-12-30
"Adityapur, India",2014-04-19
"Adoni, India",2014-02-09
"Adoor, India",2014-07-07
"Afzalpur, India",2015-03-05
"Agartala, India",2014-10-30
"Ahmedabad, India",2013-10-04
"Aizawl, India",2014-10-11
"Akola, India",2014-03-17
"Akot, India",2015-01-10
"Alappuzha, India",2015-04-27
"Aligarh, India",2014-05-31
"Alipurduar, India",2014-05-22
"Allahabad, India",2014-01-20
"Alwar, India",2014-08-19
"Amalapuram, India",2014-04-11
"Amalner, India",2015-05-26
"Ambejogai, India",2014-10-25
"Ambikapur, India",2015-01-22
"Amravati, India",2014-01-20
"Amreli, India",2015-04-02
"Amroha, India",2014-11-03
"Anakapalle, India",2015-03-13
"Anand, India",2015-03-26
"Anantapur, India",2014-12-26
"Anantnag, India",2014-12-22
"Anjangaon, India",2014-01-15
"Ankleshwar, India",2014-09-11
"Arakkonam, India",2015-02-12
"Arambagh, India",2014-05-19
"Araria, India",2014-09-09
"Arsikere, India",2014-02-27
"Aruppukkottai, India",2014-08-04
"Arvi, India",2014-08-19
"Arwal, India",2015-04-12
"Asansol, India",2014-05-12
"Ashok Nagar, India",2014-03-29
"Athni, India",2014-04-25
"Aurangabad, India",2014-10-02
"Bahadurgarh, India",2014-12-31
"Baharampur, India",2014-08-18
"Balaghat, India",2014-08-16
"Baleshwar Town, India",2014-07-27
"Ballari, India",2014-09-30
"Balurghat, India",2014-09-20
"Bankura, India",2014-09-05
"Baramula, India",2014-01-28
"Barbil, India",2014-04-15
"Baripada Town, India",2014-05-01
"Barnala, India",2014-12-24
"Barpeta, India",2014-08-11
"Batala, India",2014-08-30
"Bathinda, India",2014-04-25
"Begusarai, India",2015-04-06
"Belagavi, India",2013-12-26
"Bellampalle, India",2014-07-24
"Bengaluru, India",2013-10-04
"Bhabua, India",2014-01-11
"Bhadrachalam, India",2014-07-13
"Bhadrak, India",2014-03-01
"Bhagalpur, India",2014-10-22
"Bhainsa, India",2015-02-02
"Bharatpur, India",2014-01-23
"Bharuch, India",2014-03-14
"Bhavnagar, India",2014-02-22
"Bheemunipatnam, India",2014-08-05
"Bhilai Nagar, India",2014-04-21
"Bhilwara, India",2014-08-04
"Bhiwandi, India",2015-03-23
"Bhongir, India",2014-03-20
"Bhopal, India",2013-12-23
"Bhubaneswar, India",2014-05-13
"Bhuj, India",2014-09-16
"Bikaner, India",2014-02-27
"Bodhan, India",2014-10-20
"Bokaro Steel City, India",2014-10-22
"Bongaigaon City, India",2014-08-26
"Brahmapur, India",2015-03-11
"Buxar, India",2014-08-29
"Byasanagar, India",2014-09-03
"Chaibasa, India",2014-02-11
"Chalakudy, India",2014-06-26
"Charkhi Dadri, India",2014-06-01
"Chatra, India",2014-11-10
"Chennai, India",2013-10-05
"Cherthala, India",2015-03-16
"Chilakaluripet, India",2014-06-01
"Chirala, India",2014-09-01
"Chirmiri, India",2014-10-14
"Chittoor, India",2014-03-18
"Chittur-Thathamangalam, India",2014-05-17
"Cuttack, India",2014-08-01
"Dalli-Rajhara, India",2014-09-18
"Darbhanga, India",2014-03-24
"Darjiling, India",2014-04-05
"Davanagere, India",2014-03-19
"Deesa, India",2014-12-30
"Dehradun, India",2014-09-02
"Dehri-on-Sone, India",2014-07-24
"Delhi, India",2013-10-04
"Deoghar, India",2014-12-14
"Dhanbad, India",2014-07-31
"Dharmanagar, India",2014-11-01
"Dhubri, India",2014-11-03
"Dhule, India",2014-02-22
"Dhuri, India",2014-06-03
"Dibrugarh, India",2014-10-25
"Dimapur, India",2014-10-05
"Diphu, India",2014-04-23
"Dumka, India",2014-09-09
"Dumraon, India",2014-08-05
"Eluru, India",2015-04-12
"English Bazar, India",2015-03-20
"Erode, India",2014-03-07
"Etawah, India",2015-01-17
"Faridabad, India",2014-01-21
"Faridkot, India",2015-02-12
"Farooqnagar, India",2014-04-27
"Fatehabad, India",2014-07-06
"Fatehpur Sikri, India",2014-05-23
"Firozabad, India",2015-01-06
"Firozpur Cantt., India",2014-08-09
"Gadwal, India",2014-07-02
"Gangarampur, India",2014-07-03
"Gaya, India",2015-03-12
"Giridih, India",2014-12-06
"Goalpara, India",2014-08-11
"Gobichettipalayam, India",2014-09-06
"Gobindgarh, India",2014-07-18
"Gohana, India",2015-05-10
"Gokak, India",2014-03-19
"Gooty, India",2015-05-23
"Gopalganj, India",2014-11-12
"Greater Mumbai, India",2013-10-04
"Gudivada, India",2014-12-11
"Gudur, India",2014-09-20
"Gumia, India",2014-10-11
"Guntur, India",2014-12-21
"Gurdaspur, India",2015-03-18
"Gurgaon, India",2014-02-12
"Guwahati, India",2014-03-25
"Gwalior, India",2014-05-03
"Habra, India",2014-05-13
"Hajipur, India",2014-04-20
"Haldwani-cum-Kathgodam, India",2013-11-15
"Hansi, India",2014-12-26
"Hapur, India",2014-01-21
"Hardwar, India",2015-02-28
"Hazaribag, India",2015-02-19
"Hindupur, India",2014-02-19
"Hisar, India",2014-04-19
"Hoshiarpur, India",2015-04-11
"Hubli-Dharwad, India",2014-08-07
"Hyderabad, India",2013-10-09
"Ichalkaranji, India",2014-04-02
"Imphal, India",2014-02-02
"Indore, India",2014-10-14
"Itarsi, India",2014-07-29
"Jabalpur, India",2015-03-04
"Jagdalpur, India",2013-11-21
"Jaggaiahpet, India",2014-11-12
"Jagraon, India",2014-03-16
"Jagtial, India",2015-01-27
"Jaipur, India",2013-10-05
"Jalandhar Cantt., India",2014-08-24
"Jalandhar, India",2014-02-07
"Jalpaiguri, India",2014-10-03
"Jamalpur, India",2015-01-19
"Jammalamadugu, India",2014-07-11
